OID_,OID1,Grid,ORIG_FID,LAT,LON
23745,,BO128,23745,58.642786639999997,-141.950283270000000
27268,,AX98,27268,58.643398460000000,-148.007248070000003
26646,,BA103,26646,58.644314889999997,-146.983159860000001
21882,,BX146,21882,58.645572860000001,-138.415597270000006
28305,,AS90,28305,58.646093680000000,-149.664169189999996
23538,,BP130,23538,58.647113910000002,-141.557619520000003
24988,,BI117,24988,58.648575129999998,-144.151006050000007
22089,,BW144,22089,58.649281219999999,-138.808294090000004
23331,,BQ132,23331,58.650437119999999,-141.164904689999986
22296,,BV142,22296,58.651985330000002,-139.201033719999998
23124,,BR134,23124,58.652755990000003,-140.772152190000014
25817,,BE110,25817,58.652974569999998,-145.567134240000001
22503,,BU140,22503,58.653684970000000,-139.593802769999996
28720,,AQ87,28720,58.653925070000000,-150.297349580000002
22917,,BS136,22917,58.654070320000002,-140.379375420000002
22710,,BT138,22710,58.654379980000002,-139.986587810000003
33494,,T54,33494,58.654598229999998,-157.364794490000008
27683,,AV95,27683,58.658061199999999,-148.640119319999997
24781,,BJ119,24781,58.658529600000001,-143.758552100000003
